perfume_id,Name,Brand,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,text_profile
17,Vetiver di Genova,Le Ré Noir,"Floral, Fresh, Woody, Citrus, Green",,,,"Name: Vetiver di Genova Brand: Le Ré Noir Main accords: Floral, Fresh, Woody, Citrus, Green Top notes:  Middle notes:  Base notes: "
18,Very Berry,W.Dressroom,,"Bay leaf, Blackcurrant, Grapefruit","Peony, Rose","Cedarwood, Musk","Name: Very Berry Brand: W.Dressroom Main accords:  Top notes: Bay leaf, Blackcurrant, Grapefruit Middle notes: Peony, Rose Base notes: Cedarwood, Musk"
19,Tabac du Chaman,Le Ré Noir,"Smoky, Sweet, Spicy, Leathery, Woody",,,,"Name: Tabac du Chaman Brand: Le Ré Noir Main accords: Smoky, Sweet, Spicy, Leathery, Woody Top notes:  Middle notes:  Base notes: "
20,Velvet Powder,W.Dressroom,,"Bergamot, Orange","Iris, Jasmine, Orchid, Rose, Violet, Ylang-ylang","Cedarwood, Heliotrope, Vanilla","Name: Velvet Powder Brand: W.Dressroom Main accords:  Top notes: Bergamot, Orange Middle notes: Iris, Jasmine, Orchid, Rose, Violet, Ylang-ylang Base notes: Cedarwood, Heliotrope, Vanilla"
21,Lemon & Lime,W.Dressroom,,"Eucalyptus, Lime","Hyacinth, Ozonic notes",Pine,"Name: Lemon & Lime Brand: W.Dressroom Main accords:  Top notes: Eucalyptus, Lime Middle notes: Hyacinth, Ozonic notes Base notes: Pine"
22,Sea Notes Orange Cedar,Prouvé,,"Aldehydes, Marine notes, Orange","Black pepper, Cedar, Neroli","Ambergris, Vanilla, Vetiver","Name: Sea Notes Orange Cedar Brand: Prouvé Main accords:  Top notes: Aldehydes, Marine notes, Orange Middle notes: Black pepper, Cedar, Neroli Base notes: Ambergris, Vanilla, Vetiver"
23,Délice du Figuier,Le Ré Noir,"Green, Woody, Fresh",,,,"Name: Délice du Figuier Brand: Le Ré Noir Main accords: Green, Woody, Fresh Top notes:  Middle notes:  Base notes: "
24,Strawberry Cherry Caramel,Prouvé,,"Cherry, Mandarin orange, Pineapple, Strawberry","Caramel, Popcorn, Violet","Ambergris, Musk, Patchouli","Name: Strawberry Cherry Caramel Brand: Prouvé Main accords:  Top notes: Cherry, Mandarin orange, Pineapple, Strawberry Middle notes: Caramel, Popcorn, Violet Base notes: Ambergris, Musk, Patchouli"
25,Pear Mint Basil,Prouvé,,"Bergamot, Cedar, Pear","Basil, Mint","Musk, Patchouli","Name: Pear Mint Basil Brand: Prouvé Main accords:  Top notes: Bergamot, Cedar, Pear Middle notes: Basil, Mint Base notes: Musk, Patchouli"
26,À L'Apogée de Vert,Le Ré Noir,"Spicy, Green, Woody, Fresh, Resinous","Basil, Brazilian rosewood, Galbanum, Grapefruit, Italian bergamot, Ylang-ylang, Jasmine, Rose","Frankincense, Lebanon cedar, Cascarilla, Nutmeg, Patchouli, Sandalwood","Cistus, Labdanum","Name: À L'Apogée de Vert Brand: Le Ré Noir Main accords: Spicy, Green, Woody, Fresh, Resinous Top notes: Basil, Brazilian rosewood, Galbanum, Grapefruit, Italian bergamot, Ylang-ylang, Jasmine, Rose Middle notes: Frankincense, Lebanon cedar, Cascarilla, Nutmeg, Patchouli, Sandalwood Base notes: Cistus, Labdanum"
27,"Havana, Glass Of Vanilla Cocktail On The Beach at 4 pm",W.Dressroom,,"Bergamot, Juniper, Lemon, Pepper","Frankincense, Orris root, Pine needle","Amber, Sandalwood, Vanilla","Name: Havana, Glass Of Vanilla Cocktail On The Beach at 4 pm Brand: W.Dressroom Main accords:  Top notes: Bergamot, Juniper, Lemon, Pepper Middle notes: Frankincense, Orris root, Pine needle Base notes: Amber, Sandalwood, Vanilla"
28,Jasmine Passion Flower Vanilla,Prouvé,,Passion flower,"Gardenia, Jasmine","Vanilla, Vetiver","Name: Jasmine Passion Flower Vanilla Brand: Prouvé Main accords:  Top notes: Passion flower Middle notes: Gardenia, Jasmine Base notes: Vanilla, Vetiver"
29,Gentleman Code,W.Dressroom,,"Bergamot, Grapefruit, Rosemary","Cinnamon, Clove, Lily, Tonka bean","Amber, Cedar, Frankincense, Patchouli, Sandalwood, Vanilla","Name: Gentleman Code Brand: W.Dressroom Main accords:  Top notes: Bergamot, Grapefruit, Rosemary Middle notes: Cinnamon, Clove, Lily, Tonka bean Base notes: Amber, Cedar, Frankincense, Patchouli, Sandalwood, Vanilla"
30,Coffee Pink Pepper Tonka Bean,Prouvé,"Sweet, Gourmand, Spicy, Powdery, Creamy","Bergamot, Orange","Amyris, Coffee, Pink pepper","Musk, Patchouli, Tonka bean, Vetiver","Name: Coffee Pink Pepper Tonka Bean Brand: Prouvé Main accords: Sweet, Gourmand, Spicy, Powdery, Creamy Top notes: Bergamot, Orange Middle notes: Amyris, Coffee, Pink pepper Base notes: Musk, Patchouli, Tonka bean, Vetiver"
31,White Lilly,W.Dressroom,,Bergamot,"Bulgarian rose, Lily of the valley, Magnolia, Violet","Cedarwood, Crystal amber, Musk","Name: White Lilly Brand: W.Dressroom Main accords:  Top notes: Bergamot Middle notes: Bulgarian rose, Lily of the valley, Magnolia, Violet Base notes: Cedarwood, Crystal amber, Musk"
32,Jasmine Melon Cedar,Prouvé,,"Bergamot, Magnolia, Melon, Pear","Lily of the valley, Orchid, Plum, Violet","Blackberry, Cedar, Vanilla","Name: Jasmine Melon Cedar Brand: Prouvé Main accords:  Top notes: Bergamot, Magnolia, Melon, Pear Middle notes: Lily of the valley, Orchid, Plum, Violet Base notes: Blackberry, Cedar, Vanilla"
33,Green Apple Cinnamon Olive Tree,Prouvé,,"Bergamot, Green apple, Lemon, Oakmoss, Plum","Cinnamon, Clove, Rose","Olive wood, Sandalwood, Vanilla, Vetiver","Name: Green Apple Cinnamon Olive Tree Brand: Prouvé Main accords:  Top notes: Bergamot, Green apple, Lemon, Oakmoss, Plum Middle notes: Cinnamon, Clove, Rose Base notes: Olive wood, Sandalwood, Vanilla, Vetiver"
34,Cinnamon Rose Leather Notes,Prouvé,,"Grapefruit, Mandarin orange, Mint","Cinnamon, Rose, Spices","Amber, Cedar, Leathery notes","Name: Cinnamon Rose Leather Notes Brand: Prouvé Main accords:  Top notes: Grapefruit, Mandarin orange, Mint Middle notes: Cinnamon, Rose, Spices Base notes: Amber, Cedar, Leathery notes"
35,Patchouli Empire,CB I Hate Perfume,,"Cardamom, Frankincense, Maté","Saffron, Suede, Burnt Electronics","Musk, Patchouli, Infestation","Name: Patchouli Empire Brand: CB I Hate Perfume Main accords:  Top notes: Cardamom, Frankincense, Maté Middle notes: Saffron, Suede, Burnt Electronics Base notes: Musk, Patchouli, Infestation"
36,Tea/Rose,CB I Hate Perfume,,"Aquatic notes, Orange blossom, Repulse","Aniseed, Geranium, Osmanthus, Funk","Amber, Musk, Ash","Name: Tea/Rose Brand: CB I Hate Perfume Main accords:  Top notes: Aquatic notes, Orange blossom, Repulse Middle notes: Aniseed, Geranium, Osmanthus, Funk Base notes: Amber, Musk, Ash"
37,7 Billion Hearts,CB I Hate Perfume,"Fresh, Citrus, Spicy, Aquatic, Synthetic","Rosemary, Bergamot","White pepper, Iris, Nutmeg","Oakmoss, Cashmere, Patchouli","Name: 7 Billion Hearts Brand: CB I Hate Perfume Main accords: Fresh, Citrus, Spicy, Aquatic, Synthetic Top notes: Rosemary, Bergamot Middle notes: White pepper, Iris, Nutmeg Base notes: Oakmoss, Cashmere, Patchouli"
38,Mon Vetiver Narcotique,Le Ré Noir,"Green, Fruity, Fresh",,,,"Name: Mon Vetiver Narcotique Brand: Le Ré Noir Main accords: Green, Fruity, Fresh Top notes:  Middle notes:  Base notes: "
39,Hazelnut in Chocolate,W.Dressroom,,"Brown sugar, Cocoa, Hazelnut","Amber, Coconut, Lily, Orchid","Sandalwood, Tonka bean, Vanilla","Name: Hazelnut in Chocolate Brand: W.Dressroom Main accords:  Top notes: Brown sugar, Cocoa, Hazelnut Middle notes: Amber, Coconut, Lily, Orchid Base notes: Sandalwood, Tonka bean, Vanilla"
40,Lemon Leather Notes Ambergris,Prouvé,,"Lemon, Orange","Cedar, Coriander, Leathery notes, Violet","Ambergris, Styrax, Tonka bean","Name: Lemon Leather Notes Ambergris Brand: Prouvé Main accords:  Top notes: Lemon, Orange Middle notes: Cedar, Coriander, Leathery notes, Violet Base notes: Ambergris, Styrax, Tonka bean"
41,Tabou,Le Ré Noir,"Floral, Creamy, Fresh, Sweet, Powdery",,,,"Name: Tabou Brand: Le Ré Noir Main accords: Floral, Creamy, Fresh, Sweet, Powdery Top notes:  Middle notes:  Base notes: "
42,Herb Woody,W.Dressroom,,"Bergamot, Orange, Tangerine","Lavender, Rosemary","Cedar, Pine","Name: Herb Woody Brand: W.Dressroom Main accords:  Top notes: Bergamot, Orange, Tangerine Middle notes: Lavender, Rosemary Base notes: Cedar, Pine"
43,Oud Rosewood Vanilla,Prouvé,"Spicy, Powdery, Oriental, Woody, Sweet","Oud, Rosewood","Cardamom, Sandalwood, Vanilla","Tonka bean, Vetiver","Name: Oud Rosewood Vanilla Brand: Prouvé Main accords: Spicy, Powdery, Oriental, Woody, Sweet Top notes: Oud, Rosewood Middle notes: Cardamom, Sandalwood, Vanilla Base notes: Tonka bean, Vetiver"
44,Raspberry Jasmine Honey,Prouvé,"Floral, Green, Citrus, Spicy, Powdery","Aldehydes, Bergamot, Mandarin orange, Rotten Onion","Narcissus, Mimosa, Violet, Scum","Vanilla, Musk, Patchouli","Name: Raspberry Jasmine Honey Brand: Prouvé Main accords: Floral, Green, Citrus, Spicy, Powdery Top notes: Aldehydes, Bergamot, Mandarin orange, Rotten Onion Middle notes: Narcissus, Mimosa, Violet, Scum Base notes: Vanilla, Musk, Patchouli"
45,Bergamot Papaya Nutmeg,Prouvé,,"Bergamot, Lemon, Papaya, Pineapple","Lily of the valley, Nutmeg, Rose, Violet","Amber, Musk, Sandalwood","Name: Bergamot Papaya Nutmeg Brand: Prouvé Main accords:  Top notes: Bergamot, Lemon, Papaya, Pineapple Middle notes: Lily of the valley, Nutmeg, Rose, Violet Base notes: Amber, Musk, Sandalwood"
46,Lychee Peach Musk,Prouvé,,"Bergamot, Lychee, Peach","Lily, Lily of the valley, Plum","Musk, Vanilla, Vetiver","Name: Lychee Peach Musk Brand: Prouvé Main accords:  Top notes: Bergamot, Lychee, Peach Middle notes: Lily, Lily of the valley, Plum Base notes: Musk, Vanilla, Vetiver"
47,Rose Orange Patchouli,Prouvé,,"Mandarin orange, Orange, Orange blossom","Mimosa, Rose, Ylang-ylang","Patchouli, Tonka bean, Vanilla","Name: Rose Orange Patchouli Brand: Prouvé Main accords:  Top notes: Mandarin orange, Orange, Orange blossom Middle notes: Mimosa, Rose, Ylang-ylang Base notes: Patchouli, Tonka bean, Vanilla"
48,White Musk,W.Dressroom,,Watermelon,"Iris, Jasmine, Lily of the valley, Orchid, Rosewood","Amber, Balsam, Musk","Name: White Musk Brand: W.Dressroom Main accords:  Top notes: Watermelon Middle notes: Iris, Jasmine, Lily of the valley, Orchid, Rosewood Base notes: Amber, Balsam, Musk"
49,Green Apple Lavender Fir,Prouvé,,"Basil, Bergamot, Grapefruit, Green apple, Lavender","Carnation, Geranium, Sage","Cedar, Fir, Patchouli","Name: Green Apple Lavender Fir Brand: Prouvé Main accords:  Top notes: Basil, Bergamot, Grapefruit, Green apple, Lavender Middle notes: Carnation, Geranium, Sage Base notes: Cedar, Fir, Patchouli"
50,Peony Rose Pink Pepper,Prouvé,,"Mandarin orange, Peony","Osmanthus, Rose","Patchouli, Pink pepper, Sandalwood","Name: Peony Rose Pink Pepper Brand: Prouvé Main accords:  Top notes: Mandarin orange, Peony Middle notes: Osmanthus, Rose Base notes: Patchouli, Pink pepper, Sandalwood"
51,Strawberry in Cream,W.Dressroom,,"Blackcurrant, Citrus fruits, Pine","Jasmine, Strawberry","Amber, Musk, Vanilla cream","Name: Strawberry in Cream Brand: W.Dressroom Main accords:  Top notes: Blackcurrant, Citrus fruits, Pine Middle notes: Jasmine, Strawberry Base notes: Amber, Musk, Vanilla cream"
52,"Copenhagen, Romantic Night-Walk With Your Loved Ones at 7 pm",W.Dressroom,,"Citrus notes, Honeysuckle, Passion fruit","Jasmine, Rose","Musk, Woody notes","Name: Copenhagen, Romantic Night-Walk With Your Loved Ones at 7 pm Brand: W.Dressroom Main accords:  Top notes: Citrus notes, Honeysuckle, Passion fruit Middle notes: Jasmine, Rose Base notes: Musk, Woody notes"
53,Grapefruit Violet Leather Notes,Prouvé,,"Grapefruit, Mandarin orange","Basil, Mint, Violet","Leathery notes, Vetiver","Name: Grapefruit Violet Leather Notes Brand: Prouvé Main accords:  Top notes: Grapefruit, Mandarin orange Middle notes: Basil, Mint, Violet Base notes: Leathery notes, Vetiver"
54,"New York, Wake Up Late On Sunday Morning at 11 am",W.Dressroom,,"Grapefruit, Quince","Hyacinth, Jasmine","Amber, Iris, Musk, Virginia cedar","Name: New York, Wake Up Late On Sunday Morning at 11 am Brand: W.Dressroom Main accords:  Top notes: Grapefruit, Quince Middle notes: Hyacinth, Jasmine Base notes: Amber, Iris, Musk, Virginia cedar"
55,Freesia Rose Patchouli,Prouvé,,Blackcurrant leaf,"Freesia, Rose","Ambroxan, Patchouli, Vanilla","Name: Freesia Rose Patchouli Brand: Prouvé Main accords:  Top notes: Blackcurrant leaf Middle notes: Freesia, Rose Base notes: Ambroxan, Patchouli, Vanilla"
56,Always Happy,W.Dressroom,,"Grapefruit, Green notes, Pear, Plum, Raspberry","Apple blossom, Jasmine, Lychee, Rose, Violet","Cedarwood, Musk","Name: Always Happy Brand: W.Dressroom Main accords:  Top notes: Grapefruit, Green notes, Pear, Plum, Raspberry Middle notes: Apple blossom, Jasmine, Lychee, Rose, Violet Base notes: Cedarwood, Musk"
57,Green Earth,W.Dressroom,,"Orange blossom, Pink pepper","Geranium, Heliotrope, Jasmine, Lavender, Magnolan®, Rose","Amber, Cedarwood, Musk, Patchouli","Name: Green Earth Brand: W.Dressroom Main accords:  Top notes: Orange blossom, Pink pepper Middle notes: Geranium, Heliotrope, Jasmine, Lavender, Magnolan®, Rose Base notes: Amber, Cedarwood, Musk, Patchouli"
58,Chich Amber,W.Dressroom,"Floral, Fruity, Synthetic","Bergamot, Blackcurrant, Green apple, Lemon","Freesia, Lily of the valley, Magnolia","Amber, Musk","Name: Chich Amber Brand: W.Dressroom Main accords: Floral, Fruity, Synthetic Top notes: Bergamot, Blackcurrant, Green apple, Lemon Middle notes: Freesia, Lily of the valley, Magnolia Base notes: Amber, Musk"
59,All Night Long,Ramón Monegal,"Sweet, Fruity, Floral, Fresh, Citrus","Lemon, Mint, Pineapple","Patchouli, Heliotrope, Jasmine","Oakmoss, Musk, Vanilla","Name: All Night Long Brand: Ramón Monegal Main accords: Sweet, Fruity, Floral, Fresh, Citrus Top notes: Lemon, Mint, Pineapple Middle notes: Patchouli, Heliotrope, Jasmine Base notes: Oakmoss, Musk, Vanilla"
60,aM - Ginger & Cedarwood,Yntenzo,"Green, Citrus, Spicy, Oriental, Leathery","Citrus notes, Fruity notes, Ginger","Green notes, Lavender, Ozonic notes, Spicy notes","Ambergris, Cedarwood, Leather, Musk, Sandalwood, Vetiver","Name: aM - Ginger & Cedarwood Brand: Yntenzo Main accords: Green, Citrus, Spicy, Oriental, Leathery Top notes: Citrus notes, Fruity notes, Ginger Middle notes: Green notes, Lavender, Ozonic notes, Spicy notes Base notes: Ambergris, Cedarwood, Leather, Musk, Sandalwood, Vetiver"
61,Attitude,The Dua Brand / Dua Fragrances,"Smoky, Sweet, Spicy, Creamy, Citrus",,,,"Name: Attitude Brand: The Dua Brand / Dua Fragrances Main accords: Smoky, Sweet, Spicy, Creamy, Citrus Top notes:  Middle notes:  Base notes: "
62,aW - Limoncello & Peony,Yntenzo,,"Green notes, Limoncello, Orange","Fruity notes, Peony, Sweet notes","Benzoin, Caramel, Honey, Musk","Name: aW - Limoncello & Peony Brand: Yntenzo Main accords:  Top notes: Green notes, Limoncello, Orange Middle notes: Fruity notes, Peony, Sweet notes Base notes: Benzoin, Caramel, Honey, Musk"
63,Blessed,The Dua Brand / Dua Fragrances,"Synthetic, Animal, Sweet, Woody, Gourmand",,,,"Name: Blessed Brand: The Dua Brand / Dua Fragrances Main accords: Synthetic, Animal, Sweet, Woody, Gourmand Top notes:  Middle notes:  Base notes: "
64,bM - Chestnut & Vanilla,Yntenzo,"Sweet, Green, Spicy, Woody, Fruity","Cardamom, Mint, Pink pepper, Violet leaf","Melon, Pineapple, Sage","Amberwood, Cedar, Chestnut, Vanilla","Name: bM - Chestnut & Vanilla Brand: Yntenzo Main accords: Sweet, Green, Spicy, Woody, Fruity Top notes: Cardamom, Mint, Pink pepper, Violet leaf Middle notes: Melon, Pineapple, Sage Base notes: Amberwood, Cedar, Chestnut, Vanilla"
65,Bon Bon Chérie,Faberlic,"Synthetic, Green, Spicy, Oriental, Fruity",,,,"Name: Bon Bon Chérie Brand: Faberlic Main accords: Synthetic, Green, Spicy, Oriental, Fruity Top notes:  Middle notes:  Base notes: "
66,Boom Couture,Faberlic,"Green, Spicy, Resinous, Woody, Floral","Mandarin orange, Staleness","Lavender absolute, Diesel","Labdanum, Sock","Name: Boom Couture Brand: Faberlic Main accords: Green, Spicy, Resinous, Woody, Floral Top notes: Mandarin orange, Staleness Middle notes: Lavender absolute, Diesel Base notes: Labdanum, Sock"
67,bW - Lavender & Vanilla,Yntenzo,,"Bergamot, Lavender","Iris, Jasmine sambac, Rose","Benzoin, Coumarin, Liquorice, Patchouli, Sandalwood, Vanilla","Name: bW - Lavender & Vanilla Brand: Yntenzo Main accords:  Top notes: Bergamot, Lavender Middle notes: Iris, Jasmine sambac, Rose Base notes: Benzoin, Coumarin, Liquorice, Patchouli, Sandalwood, Vanilla"
68,By Accident,The Dua Brand / Dua Fragrances,"Woody, Powdery",,,,"Name: By Accident Brand: The Dua Brand / Dua Fragrances Main accords: Woody, Powdery Top notes:  Middle notes:  Base notes: "
69,Café del Mar,Ramón Monegal,"Fresh, Spicy, Aquatic, Sweet, Green","Yellow apple, Coffee, Kelp","Freesia, Lavender, Lily","Ambergris, Vanilla, Sand","Name: Café del Mar Brand: Ramón Monegal Main accords: Fresh, Spicy, Aquatic, Sweet, Green Top notes: Yellow apple, Coffee, Kelp Middle notes: Freesia, Lavender, Lily Base notes: Ambergris, Vanilla, Sand"
70,Candy,The Dua Brand / Dua Fragrances,"Fruity, Fresh, Citrus, Aquatic, Synthetic",,,,"Name: Candy Brand: The Dua Brand / Dua Fragrances Main accords: Fruity, Fresh, Citrus, Aquatic, Synthetic Top notes:  Middle notes:  Base notes: "
71,cM - Vanilla & Amber,Yntenzo,,"Bergamot, Black pepper, Iris","Ambrette, Cardamom, Coriander, Musk","Amber, Vanilla, Vetiver, Virginia cedar","Name: cM - Vanilla & Amber Brand: Yntenzo Main accords:  Top notes: Bergamot, Black pepper, Iris Middle notes: Ambrette, Cardamom, Coriander, Musk Base notes: Amber, Vanilla, Vetiver, Virginia cedar"
72,Cool Vibes,Zara,"Sweet, Synthetic, Gourmand, Spicy, Creamy",,,,"Name: Cool Vibes Brand: Zara Main accords: Sweet, Synthetic, Gourmand, Spicy, Creamy Top notes:  Middle notes:  Base notes: "
73,CoralCrush,Nike,,"Blackcurrant, Mandarin orange, Raspberry, Strawberry","Cashmere, Jasmine, Vanilla, Violet, Woods","Amber, Musk, Oakmoss, Patchouli, Sugar","Name: CoralCrush Brand: Nike Main accords:  Top notes: Blackcurrant, Mandarin orange, Raspberry, Strawberry Middle notes: Cashmere, Jasmine, Vanilla, Violet, Woods Base notes: Amber, Musk, Oakmoss, Patchouli, Sugar"
74,Covfefe,Black Phoenix Alchemy Lab,"Fruity, Leathery, Spicy, Aquatic",,,,"Name: Covfefe Brand: Black Phoenix Alchemy Lab Main accords: Fruity, Leathery, Spicy, Aquatic Top notes:  Middle notes:  Base notes: "
75,Craveme,The Dua Brand / Dua Fragrances,"Fresh, Sweet",,,,"Name: Craveme Brand: The Dua Brand / Dua Fragrances Main accords: Fresh, Sweet Top notes:  Middle notes:  Base notes: "
76,cW - Passion Fruit & Raspberry,Yntenzo,,"Passion fruit, Raspberry, Violet leaf","Jasmine, Orange blossom, Passion flower","Benzoin, Cedar, Musk","Name: cW - Passion Fruit & Raspberry Brand: Yntenzo Main accords:  Top notes: Passion fruit, Raspberry, Violet leaf Middle notes: Jasmine, Orange blossom, Passion flower Base notes: Benzoin, Cedar, Musk"
77,dM - Patchouli & Amber,Yntenzo,,"Basil, Bergamot, Caraway, Fruity notes, Rosemary, Sicilian lemon","Carnation, Coriander, Jasmine, Orris root, Patchouli, Rose, Sandalwood","Amber, Musk, Oakmoss, Vetiver","Name: dM - Patchouli & Amber Brand: Yntenzo Main accords:  Top notes: Basil, Bergamot, Caraway, Fruity notes, Rosemary, Sicilian lemon Middle notes: Carnation, Coriander, Jasmine, Orris root, Patchouli, Rose, Sandalwood Base notes: Amber, Musk, Oakmoss, Vetiver"
78,dW - Pear & Rose,Yntenzo,,"Bergamot, Pear, Pink pepper, Red currant","Benzoin, Rose, Tonka bean, Vanilla","Ambroxan, Nutmeg, Patchouli, Woody notes","Name: dW - Pear & Rose Brand: Yntenzo Main accords:  Top notes: Bergamot, Pear, Pink pepper, Red currant Middle notes: Benzoin, Rose, Tonka bean, Vanilla Base notes: Ambroxan, Nutmeg, Patchouli, Woody notes"
79,Ego,The Dua Brand / Dua Fragrances,"Smoky, Synthetic, Spicy, Woody, Fruity",,,,"Name: Ego Brand: The Dua Brand / Dua Fragrances Main accords: Smoky, Synthetic, Spicy, Woody, Fruity Top notes:  Middle notes:  Base notes: "
