perfume_id,Name,Brand,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,text_profile
23720,Just Sport LR / Racine 2014 Eau de Parfum,LR / Racine,"Fresh, Synthetic, Fruity, Aquatic","Ginger, Nutmeg","Pineapple, Star anise, Vodka","Musky notes, Woody notes","Name: Just Sport LR / Racine 2014 Eau de Parfum Brand: LR / Racine Main accords: Fresh, Synthetic, Fruity, Aquatic Top notes: Ginger, Nutmeg Middle notes: Pineapple, Star anise, Vodka Base notes: Musky notes, Woody notes"
24935,Lavande 31,Le Labo,,"Clove, Lavender, Pepper, Vanilla, Foulness","Cedar, Jasmine, Patchouli, Vetiver, Pungidity","Musk, Sandalwood","Name: Lavande 31 Brand: Le Labo Main accords:  Top notes: Clove, Lavender, Pepper, Vanilla, Foulness Middle notes: Cedar, Jasmine, Patchouli, Vetiver, Pungidity Base notes: Musk, Sandalwood"
16244,Engel Dark for Her,Rammstein,"Spicy, Woody, Sweet, Oriental, Animal",,,,"Name: Engel Dark for Her Brand: Rammstein Main accords: Spicy, Woody, Sweet, Oriental, Animal Top notes:  Middle notes:  Base notes: "
38203,Temptatio,V Canto,"Floral, Woody, Fruity, Spicy, Synthetic","Bulgarian rose, Italian lemon, Sicilian orange, Ylang-ylang","Blackcurrant, Cinnamon, Iris, Passion fruit, Peach, Queen-of-the-night, Raspberry, Violet","Ambergris, Musk, Patchouli, Sandalwood, Tonka bean, Vanilla","Name: Temptatio Brand: V Canto Main accords: Floral, Woody, Fruity, Spicy, Synthetic Top notes: Bulgarian rose, Italian lemon, Sicilian orange, Ylang-ylang Middle notes: Blackcurrant, Cinnamon, Iris, Passion fruit, Peach, Queen-of-the-night, Raspberry, Violet Base notes: Ambergris, Musk, Patchouli, Sandalwood, Tonka bean, Vanilla"
38578,The Scent of Magic,M. Asam,"Sweet, Powdery, Woody, Floral, Creamy",Freesia,"Cedarwood, Iris, Rose","Sandalwood, Vanilla","Name: The Scent of Magic Brand: M. Asam Main accords: Sweet, Powdery, Woody, Floral, Creamy Top notes: Freesia Middle notes: Cedarwood, Iris, Rose Base notes: Sandalwood, Vanilla"
12565,Cotillion Avon Cologne,Avon,,"Citrus fruits, Floral notes, Sewer","Basil, Lavender","Sandalwood, Vetiver","Name: Cotillion Avon Cologne Brand: Avon Main accords:  Top notes: Citrus fruits, Floral notes, Sewer Middle notes: Basil, Lavender Base notes: Sandalwood, Vetiver"
2072,Afraid of the Dark - Charlie No. 5 Opus Oils 2009 Eau de Parfum,Opus Oils,"Leathery, Resinous, Sweet, Woody, Earthy",,,,"Name: Afraid of the Dark - Charlie No. 5 Opus Oils 2009 Eau de Parfum Brand: Opus Oils Main accords: Leathery, Resinous, Sweet, Woody, Earthy Top notes:  Middle notes:  Base notes: "
6198,Bai,Alfred Sung,"Floral, Fresh, Powdery","Lotus, Tuberose, Yuzu","Mimosa, Gardenia, Jasmine","Frankincense, Patchouli, White musk","Name: Bai Brand: Alfred Sung Main accords: Floral, Fresh, Powdery Top notes: Lotus, Tuberose, Yuzu Middle notes: Mimosa, Gardenia, Jasmine Base notes: Frankincense, Patchouli, White musk"
11451,Classic Oud,Mith,,"Cardamom, Geranium, Grapefruit, Pink pepper","Papyrus, Patchouli, Rose","Amber, Cedarwood, Frankincense, Labdanum, Oud, Sandalwood, Vetiver","Name: Classic Oud Brand: Mith Main accords:  Top notes: Cardamom, Geranium, Grapefruit, Pink pepper Middle notes: Papyrus, Patchouli, Rose Base notes: Amber, Cedarwood, Frankincense, Labdanum, Oud, Sandalwood, Vetiver"
3203,Amazone,GDK / Grey de Kouroun,,"Star anise, Yuzu","Apple, Neroli, Orange blossom, Pear, Petitgrain, Rose, Tuberose, Stink","Ambroxan, Caramel, Tonka bean, Vanilla, White musk, Rancidness","Name: Amazone Brand: GDK / Grey de Kouroun Main accords:  Top notes: Star anise, Yuzu Middle notes: Apple, Neroli, Orange blossom, Pear, Petitgrain, Rose, Tuberose, Stink Base notes: Ambroxan, Caramel, Tonka bean, Vanilla, White musk, Rancidness"
2035,Aero Explore Aéropostale Body Spray,Aéropostale,,"Amber, Powdery notes, Vanilla, Spoiled Spice","Balsamic notes, Leathery notes",Woody notes,"Name: Aero Explore Aéropostale Body Spray Brand: Aéropostale Main accords:  Top notes: Amber, Powdery notes, Vanilla, Spoiled Spice Middle notes: Balsamic notes, Leathery notes Base notes: Woody notes"
10325,Cedro,Mahogany,,"Bergamot, Grapefruit, Mandarin orange","Cardamom, Cinnamon, Mint, Nutmeg","Amber, Musk, Teakwood, Virginia cedar","Name: Cedro Brand: Mahogany Main accords:  Top notes: Bergamot, Grapefruit, Mandarin orange Middle notes: Cardamom, Cinnamon, Mint, Nutmeg Base notes: Amber, Musk, Teakwood, Virginia cedar"
265,Sleeping Princes and the Kingdom of Dreams - Lullus 夢王国と眠れる100人の王子様 - ルルス,Fairytail Parfum / フェアリーテイル,,"Vervain, Bergamot, Red currant, White cyclamen","Honeysuckle, Freesia, Lily of the valley, Neroli","Heliotrope, White musk, Amber","Name: Sleeping Princes and the Kingdom of Dreams - Lullus 夢王国と眠れる100人の王子様 - ルルス Brand: Fairytail Parfum / フェアリーテイル Main accords:  Top notes: Vervain, Bergamot, Red currant, White cyclamen Middle notes: Honeysuckle, Freesia, Lily of the valley, Neroli Base notes: Heliotrope, White musk, Amber"
22380,Ink Meditation 墨水冥想,Fang,,"Jasmine, White lily, Rot","Almond, Floral notes, Musk, Spices","Musk, Oud, Vanilla","Name: Ink Meditation 墨水冥想 Brand: Fang Main accords:  Top notes: Jasmine, White lily, Rot Middle notes: Almond, Floral notes, Musk, Spices Base notes: Musk, Oud, Vanilla"
17991,First Love,Al Haramain / الحرمين,,"Cistus, Clove, Labdanum","Frankincense, Lavender, Saffron","Caramel, Castoreum, Cedarwood, Patchouli, Sandalwood","Name: First Love Brand: Al Haramain / الحرمين Main accords:  Top notes: Cistus, Clove, Labdanum Middle notes: Frankincense, Lavender, Saffron Base notes: Caramel, Castoreum, Cedarwood, Patchouli, Sandalwood"
30527,No. 6 Duftanker MGO Duftmanufaktur 2020 Extrait de Parfum,Duftanker MGO Duftmanufaktur,"Animal, Citrus, Oriental, Woody, Floral",,,,"Name: No. 6 Duftanker MGO Duftmanufaktur 2020 Extrait de Parfum Brand: Duftanker MGO Duftmanufaktur Main accords: Animal, Citrus, Oriental, Woody, Floral Top notes:  Middle notes:  Base notes: "
13910,Derby Club House Armaf Eau de Toilette,Armaf,"Oriental, Woody, Green, Fresh, Earthy","Bergamot, Lavender","Cedarwood, Patchouli","Tonka bean, Vanilla, White amber","Name: Derby Club House Armaf Eau de Toilette Brand: Armaf Main accords: Oriental, Woody, Green, Fresh, Earthy Top notes: Bergamot, Lavender Middle notes: Cedarwood, Patchouli Base notes: Tonka bean, Vanilla, White amber"
29825,Néonatura Breath La Nature me donne son Souffle,Yves Rocher,"Floral, Citrus, Fresh, Sweet, Spicy","Ginger, Bergamot, Lemon, Mandarin orange","Jasmine, Tiaré, Ylang-ylang","Benzoin, Vanilla, Amber","Name: Néonatura Breath La Nature me donne son Souffle Brand: Yves Rocher Main accords: Floral, Citrus, Fresh, Sweet, Spicy Top notes: Ginger, Bergamot, Lemon, Mandarin orange Middle notes: Jasmine, Tiaré, Ylang-ylang Base notes: Benzoin, Vanilla, Amber"
42050,Zen for Men Shiseido / 資生堂 2009 After Shave Lotion,Shiseido / 資生堂,"Synthetic, Fresh, Fruity, Spicy, Aquatic","Kumquat, Nashi pear, Bergamot","Violet, Nutmeg, Rhododendron","Musk, Patchouli, Leather","Name: Zen for Men Shiseido / 資生堂 2009 After Shave Lotion Brand: Shiseido / 資生堂 Main accords: Synthetic, Fresh, Fruity, Spicy, Aquatic Top notes: Kumquat, Nashi pear, Bergamot Middle notes: Violet, Nutmeg, Rhododendron Base notes: Musk, Patchouli, Leather"
41219,White Musk The Body Shop Fragrance Mist,The Body Shop,"Floral, Sweet, Creamy, Powdery","Musk, Lily, Ylang-ylang","Musk, Jasmine, Lily, Rose","Musk, Amber, Iris, Jasmine, Vetiver, Patchouli, Rose","Name: White Musk The Body Shop Fragrance Mist Brand: The Body Shop Main accords: Floral, Sweet, Creamy, Powdery Top notes: Musk, Lily, Ylang-ylang Middle notes: Musk, Jasmine, Lily, Rose Base notes: Musk, Amber, Iris, Jasmine, Vetiver, Patchouli, Rose"
19294,G. Nejman - Le Professionnel,M. Micallef,"Spicy, Leathery, Woody, Green, Chypre","Bergamot, Galbanum, Juniper berry, Lemon, Myrtle","Geranium, Orange","Leathery notes, Moss, Patchouli, Vetiver","Name: G. Nejman - Le Professionnel Brand: M. Micallef Main accords: Spicy, Leathery, Woody, Green, Chypre Top notes: Bergamot, Galbanum, Juniper berry, Lemon, Myrtle Middle notes: Geranium, Orange Base notes: Leathery notes, Moss, Patchouli, Vetiver"
32327,Pasha de Cartier Édition Noire Sport,Cartier,"Woody, Spicy, Fresh, Synthetic, Aquatic",,,,"Name: Pasha de Cartier Édition Noire Sport Brand: Cartier Main accords: Woody, Spicy, Fresh, Synthetic, Aquatic Top notes:  Middle notes:  Base notes: "
742,The Fragrance Kitchen,The Fragrance Kitchen,,"Bergamot, Lemon, Mandarin orange","Jasmine, Powdery notes, Ylang-ylang","Salicylate, Sandalwood, Vanilla","Name: The Fragrance Kitchen Brand: The Fragrance Kitchen Main accords:  Top notes: Bergamot, Lemon, Mandarin orange Middle notes: Jasmine, Powdery notes, Ylang-ylang Base notes: Salicylate, Sandalwood, Vanilla"
4642,Aquamania Lilac,Parfums Genty,,"Apricot, Blackcurrant, Peach","Jasmine, Passion fruit, Raspberry, Rose","Ambergris, Musk","Name: Aquamania Lilac Brand: Parfums Genty Main accords:  Top notes: Apricot, Blackcurrant, Peach Middle notes: Jasmine, Passion fruit, Raspberry, Rose Base notes: Ambergris, Musk"
39583,Un Paseo por Madrid - Doré,Loewe,,"Cinnamon, Nutmeg, Orange blossom, Patchouli, Rose","Benzoin, Tonka bean absolute","Amberwood, Vanilla","Name: Un Paseo por Madrid - Doré Brand: Loewe Main accords:  Top notes: Cinnamon, Nutmeg, Orange blossom, Patchouli, Rose Middle notes: Benzoin, Tonka bean absolute Base notes: Amberwood, Vanilla"
33336,Precious (Silver),Al Haramain / الحرمين,"Fresh, Woody, Floral, Sweet, Synthetic","Bergamot, Coriander, Peppermint, Petitgrain, Rosemary","Juniper berry, Cypress, Geranium, Jasmine, Lavender, Orange blossom","Amber, Musk, Oakmoss, Sandalwood","Name: Precious (Silver) Brand: Al Haramain / الحرمين Main accords: Fresh, Woody, Floral, Sweet, Synthetic Top notes: Bergamot, Coriander, Peppermint, Petitgrain, Rosemary Middle notes: Juniper berry, Cypress, Geranium, Jasmine, Lavender, Orange blossom Base notes: Amber, Musk, Oakmoss, Sandalwood"
38703,Tiare Flower Beach,Ulric de Varens,"Floral, Citrus, Green, Fruity, Synthetic","Amalfi lemon, Basil, Bergamot, Bougainvillea, Blackcurrant, Jamaican ginger, Sicilian mandarin orange","Florentine iris, Patchouli, Rose, Flabtus","Sandalwood, Ambergris, Russian leather, Parma violet, Trungle","Name: Tiare Flower Beach Brand: Ulric de Varens Main accords: Floral, Citrus, Green, Fruity, Synthetic Top notes: Amalfi lemon, Basil, Bergamot, Bougainvillea, Blackcurrant, Jamaican ginger, Sicilian mandarin orange Middle notes: Florentine iris, Patchouli, Rose, Flabtus Base notes: Sandalwood, Ambergris, Russian leather, Parma violet, Trungle"
34367,Rhinoceros,Zoologist,"Spicy, Smoky, Leathery, Woody, Earthy","Whisky, Basil, Pink pepper, Coffee, Rum","Tobacco absolute, Frankincense, Leather, Sweet vernal grass, Ylang-ylang","Amber, Nagarmotha, Laotian oud, Oakmoss, Patchouli","Name: Rhinoceros Brand: Zoologist Main accords: Spicy, Smoky, Leathery, Woody, Earthy Top notes: Whisky, Basil, Pink pepper, Coffee, Rum Middle notes: Tobacco absolute, Frankincense, Leather, Sweet vernal grass, Ylang-ylang Base notes: Amber, Nagarmotha, Laotian oud, Oakmoss, Patchouli"
15957,Emerald Rain,Skylar,,"Fern, Pear blossom, Rain accord","Daylily, Mint, Moss, Pink pepper","Musk, Sandalwood, Vetiver","Name: Emerald Rain Brand: Skylar Main accords:  Top notes: Fern, Pear blossom, Rain accord Middle notes: Daylily, Mint, Moss, Pink pepper Base notes: Musk, Sandalwood, Vetiver"
1720,Acqua di Bolgheri - Indaco,Dr. Taffi,"Earthy, Fruity, Green",,,,"Name: Acqua di Bolgheri - Indaco Brand: Dr. Taffi Main accords: Earthy, Fruity, Green Top notes:  Middle notes:  Base notes: "
32802,Pink Cashmere,Bath & Body Works,,"Linen, Tangerine","Jasmine, Lily of the valley","Kashmiri musk, Sandalwood, White amber","Name: Pink Cashmere Brand: Bath & Body Works Main accords:  Top notes: Linen, Tangerine Middle notes: Jasmine, Lily of the valley Base notes: Kashmiri musk, Sandalwood, White amber"
32669,Perspective Man Mexx 2001 After Shave,Mexx,"Citrus, Spicy, Fresh, Sweet","Apple, Bergamot, Birch leaf, Grapefruit, Labdanum, Pineapple, Tangerine","Clary sage, Mint, Water lily, White pepper","Amber, Angelica, Cedar, Musk, Oakmoss, Sandalwood, Teakwood, Tonka bean, Vetiver","Name: Perspective Man Mexx 2001 After Shave Brand: Mexx Main accords: Citrus, Spicy, Fresh, Sweet Top notes: Apple, Bergamot, Birch leaf, Grapefruit, Labdanum, Pineapple, Tangerine Middle notes: Clary sage, Mint, Water lily, White pepper Base notes: Amber, Angelica, Cedar, Musk, Oakmoss, Sandalwood, Teakwood, Tonka bean, Vetiver"
6861,Bel Respiro Chanel 2007 Eau de Toilette,Chanel,"Green, Fresh, Leathery, Floral, Spicy",,,,"Name: Bel Respiro Chanel 2007 Eau de Toilette Brand: Chanel Main accords: Green, Fresh, Leathery, Floral, Spicy Top notes:  Middle notes:  Base notes: "
1098,A Collection,Zara,"Citrus, Fruity, Aquatic, Fresh, Sweet","Marine notes, Bergamot, Tangerine","Jasmine, Peach, Pear","Amber, Cedarwood, Musk, Vetiver","Name: A Collection Brand: Zara Main accords: Citrus, Fruity, Aquatic, Fresh, Sweet Top notes: Marine notes, Bergamot, Tangerine Middle notes: Jasmine, Peach, Pear Base notes: Amber, Cedarwood, Musk, Vetiver"
7120,Berry Blast Pink Sugar 2010 Body Mist,Pink Sugar,"Citrus, Fresh, Synthetic, Green, Floral",,,,"Name: Berry Blast Pink Sugar 2010 Body Mist Brand: Pink Sugar Main accords: Citrus, Fresh, Synthetic, Green, Floral Top notes:  Middle notes:  Base notes: "
16615,Essence N°3: Ambre,Elie Saab,"Resinous, Spicy, Sweet, Oriental, Woody",,,,"Name: Essence N°3: Ambre Brand: Elie Saab Main accords: Resinous, Spicy, Sweet, Oriental, Woody Top notes:  Middle notes:  Base notes: "
4484,Aqua Allegoria Herba Fresca,Guerlain,"Green, Fresh, Citrus, Floral, Spicy","Clover, Lemon","Curly mint, Green tea","Cyclamen, Lily of the valley, Pear blossom","Name: Aqua Allegoria Herba Fresca Brand: Guerlain Main accords: Green, Fresh, Citrus, Floral, Spicy Top notes: Clover, Lemon Middle notes: Curly mint, Green tea Base notes: Cyclamen, Lily of the valley, Pear blossom"
4806,Arashiyama,Meleg Perfumes,"Aquatic, Creamy, Spicy, Woody, Fresh",Yuzu,"Cedar, Minerals, Salt","Frankincense, Sandalwood, Cedar","Name: Arashiyama Brand: Meleg Perfumes Main accords: Aquatic, Creamy, Spicy, Woody, Fresh Top notes: Yuzu Middle notes: Cedar, Minerals, Salt Base notes: Frankincense, Sandalwood, Cedar"
32638,Perle Rare Homme Black Edition,Panouge,"Synthetic, Fruity, Fresh, Aquatic, Sweet","Lime, Apple, Basil, Bay leaf","Marine notes, Juniper berry, Provençal lavender","Amber, Gaiac wood, Oakmoss, Tonka bean","Name: Perle Rare Homme Black Edition Brand: Panouge Main accords: Synthetic, Fruity, Fresh, Aquatic, Sweet Top notes: Lime, Apple, Basil, Bay leaf Middle notes: Marine notes, Juniper berry, Provençal lavender Base notes: Amber, Gaiac wood, Oakmoss, Tonka bean"
14564,Donna Karan DKNY / Donna Karan 1992 Parfum,DKNY / Donna Karan,"Oriental, Spicy, Leathery, Fruity, Resinous","Bergamot, Green notes, Orange blossom, Osmanthus, Peach, Pineapple, Apricot","Carnation, Chinese cassia, Heliotrope, Jasmine, Lily, Ylang-ylang, Orchid, Rose","Suede, Benzoin, Cedar, Frankincense, Musk, Sandalwood, Tonka bean, Vanilla, Amber, Citrus fruits, Patchouli, Vetiver","Name: Donna Karan DKNY / Donna Karan 1992 Parfum Brand: DKNY / Donna Karan Main accords: Oriental, Spicy, Leathery, Fruity, Resinous Top notes: Bergamot, Green notes, Orange blossom, Osmanthus, Peach, Pineapple, Apricot Middle notes: Carnation, Chinese cassia, Heliotrope, Jasmine, Lily, Ylang-ylang, Orchid, Rose Base notes: Suede, Benzoin, Cedar, Frankincense, Musk, Sandalwood, Tonka bean, Vanilla, Amber, Citrus fruits, Patchouli, Vetiver"
7118,Berries Body Oud Abdul Samad Al Qurashi / عبدالصمد القرشي Perfume Oil,Abdul Samad Al Qurashi / عبدالصمد القرشي,Fruity,,,,Name: Berries Body Oud Abdul Samad Al Qurashi / عبدالصمد القرشي Perfume Oil Brand: Abdul Samad Al Qurashi / عبدالصمد القرشي Main accords: Fruity Top notes:  Middle notes:  Base notes: 
6217,Baiser de Florence,Ella K Parfums,"Smoky, Floral, Sweet, Powdery, Spicy",,,,"Name: Baiser de Florence Brand: Ella K Parfums Main accords: Smoky, Floral, Sweet, Powdery, Spicy Top notes:  Middle notes:  Base notes: "
23002,J'adore Dior Extrait de Parfum,Dior,"Floral, Sweet, Fruity, Powdery, Oriental",Comorian ylang-ylang,Damask rose,"Jasmine sambac, Grasse jasmine","Name: J'adore Dior Extrait de Parfum Brand: Dior Main accords: Floral, Sweet, Fruity, Powdery, Oriental Top notes: Comorian ylang-ylang Middle notes: Damask rose Base notes: Jasmine sambac, Grasse jasmine"
8501,Bois,Reghen's,,"Cypress, Iris, Juniper berry","Myrrh, Patchouli, Resinous notes, Woody notes","Ambergris, Honey, Leather, Musk, Vanilla","Name: Bois Brand: Reghen's Main accords:  Top notes: Cypress, Iris, Juniper berry Middle notes: Myrrh, Patchouli, Resinous notes, Woody notes Base notes: Ambergris, Honey, Leather, Musk, Vanilla"
40522,Vetiver Root,Korres,"Woody, Spicy, Sweet, Fresh, Green","Cardamom, Green tea, Bergamot","Lavender, Cedarwood, Vetiver","Tonka bean, Oakmoss, Amber","Name: Vetiver Root Brand: Korres Main accords: Woody, Spicy, Sweet, Fresh, Green Top notes: Cardamom, Green tea, Bergamot Middle notes: Lavender, Cedarwood, Vetiver Base notes: Tonka bean, Oakmoss, Amber"
27456,Magnifica Lux,Gritti,"Spicy, Woody, Sweet, Powdery, Floral","Bergamot, Cotton flower, Iris","Frankincense, Labdanum, Powder","Ambroxan, Myrrh, Oakmoss","Name: Magnifica Lux Brand: Gritti Main accords: Spicy, Woody, Sweet, Powdery, Floral Top notes: Bergamot, Cotton flower, Iris Middle notes: Frankincense, Labdanum, Powder Base notes: Ambroxan, Myrrh, Oakmoss"
39970,Vanilla Vanille,Crabtree & Evelyn,"Gourmand, Sweet",,,,"Name: Vanilla Vanille Brand: Crabtree & Evelyn Main accords: Gourmand, Sweet Top notes:  Middle notes:  Base notes: "
31362,Orange Blossom,The 7 Virtues,"Citrus, Floral, Fruity, Powdery, Green","Bergamot, Grapefruit, Lemon, Mandarin orange, Petitgrain, Tangerine","Afghan neroli, Iris, Jasmine, Orange blossom","Amber, Labdanum, Vetiver","Name: Orange Blossom Brand: The 7 Virtues Main accords: Citrus, Floral, Fruity, Powdery, Green Top notes: Bergamot, Grapefruit, Lemon, Mandarin orange, Petitgrain, Tangerine Middle notes: Afghan neroli, Iris, Jasmine, Orange blossom Base notes: Amber, Labdanum, Vetiver"
21298,Hindi Tabac,Dixit & Zak,"Fresh, Fruity, Synthetic, Sweet",,,,"Name: Hindi Tabac Brand: Dixit & Zak Main accords: Fresh, Fruity, Synthetic, Sweet Top notes:  Middle notes:  Base notes: "
14105,Dia 40,Amouage,"Floral, Creamy, Fresh, Powdery, Chypre","Cyclamen aldehyde, Violet leaf, Blackcurrant, Musk","Carnation, Cistus, Tarragon, Ylang-ylang, Bay leaf, Orange blossom, Rose","Iris, Sandalwood, Amyris, Gaiac wood","Name: Dia 40 Brand: Amouage Main accords: Floral, Creamy, Fresh, Powdery, Chypre Top notes: Cyclamen aldehyde, Violet leaf, Blackcurrant, Musk Middle notes: Carnation, Cistus, Tarragon, Ylang-ylang, Bay leaf, Orange blossom, Rose Base notes: Iris, Sandalwood, Amyris, Gaiac wood"
22249,Indescence Girl's,Karen Low,,"Apple blossom, Pear, Plum","Lily of the valley, Peach, Pineapple","Ambergris, Lily, Musk","Name: Indescence Girl's Brand: Karen Low Main accords:  Top notes: Apple blossom, Pear, Plum Middle notes: Lily of the valley, Peach, Pineapple Base notes: Ambergris, Lily, Musk"
40357,Vert Reseda,Odin New York,,Red apple,"Gardenia, Musk","Cedarwood, Cabbage","Name: Vert Reseda Brand: Odin New York Main accords:  Top notes: Red apple Middle notes: Gardenia, Musk Base notes: Cedarwood, Cabbage"
20363,Green Wood,Amberfig,"Citrus, Woody, Floral, Fresh, Sweet",,,,"Name: Green Wood Brand: Amberfig Main accords: Citrus, Woody, Floral, Fresh, Sweet Top notes:  Middle notes:  Base notes: "
37630,Sun Men Parfum,Jil Sander,"Fresh, Spicy, Woody, Sweet, Fruity",,,,"Name: Sun Men Parfum Brand: Jil Sander Main accords: Fresh, Spicy, Woody, Sweet, Fruity Top notes:  Middle notes:  Base notes: "
